MajorName,Concentration,Freshman,Sophomore,Junior,Senior,NdegUgrad,TotalUgrad,Grad1,Grad2,NdegGrad,TotalGrad,Professional,TotalStudents
Nondegree-CE, ,        0,        0,        0,        0,      106,      106,        0,        0,        0,        0,        0,      106
Center Innov in Teach Learn,***College total***,        0,        0,        0,        0,      106,      106,        0,        0,      241,      241,        0,      347
Library & Information Science, ,        0,        0,        0,        0,        0,        0,        4,        0,        0,        4,        0,        4
Library & Information Science, ,        0,        0,        0,        0,        0,        0,        4,        0,        0,        4,        0,        4
Library & Information Science, ,        0,        0,        0,        0,        0,        0,      198,        0,        0,      198,        0,      198
Library & Information Science, ,        0,        0,        0,        0,        0,        0,      302,        0,        0,      302,        0,      302
Bioinformatics,Library & Information Science,        0,        0,        0,        0,        0,        0,        6,        0,        0,        6,        0,        6
Information Management, ,        0,        0,        0,        0,        0,        0,      260,        0,        0,      260,        0,      260
Information Management, ,        0,        0,        0,        0,        0,        0,       15,        0,        0,       15,        0,       15
Library & Information Science, ,        0,        0,        0,        0,        0,        0,        0,        0,        2,        2,        0,        2
Library & Information Science, ,        0,        0,        0,        0,        0,        0,        0,       50,        0,       50,        0,       50
School of Information Sciences,***College total***,        0,        0,        0,        0,        0,        0,      789,       50,        2,      841,        0,      841
Medicine - Carle Illinois COM, ,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       61,       61
Carle Illinois Medicine,***College total***,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       61,       61
Nondegree, ,        0,        0,        0,        0,        7,        7,        0,        0,        0,        0,        0,        7
Provost & VC Acad Affairs,***College total***,        0,        0,        0,        0,        7,        7,        0,        0,        0,        0,        0,        7
